#1:x 2:y 3:z 4:n.x 5:n.y 6:n.z
-0.325838 -0.213003 -0.330191 -0.234857 -0.291831 -0.473312
-0.297623 -0.222981 -0.340168 -0.212928 -0.315952 -0.47112
-0.303478 -0.230985 -0.328641 -0.209834 -0.316703 -0.473463
-0.300256 -0.206935 -0.343653 -0.215468 -0.291016 -0.493516
-0.314702 -0.181255 -0.357036 -0.236721 -0.264144 -0.499135
-0.318345 -0.166001 -0.361314 -0.239976 -0.240164 -0.51986
-0.298698 -0.185413 -0.361194 -0.217831 -0.266889 -0.51528
-0.293882 -0.160655 -0.375499 -0.221373 -0.242175 -0.536452
-0.300487 -0.167815 -0.363128 -0.221351 -0.242255 -0.536393
-0.320741 -0.188352 -0.344602 -0.236655 -0.264637 -0.498708
-0.327777 -0.175435 -0.351217 -0.241126 -0.242256 -0.516618
-0.307354 -0.194302 -0.350552 -0.217918 -0.267357 -0.514725
-0.272183 -0.21647 -0.353188 -0.189463 -0.309021 -0.501516
-0.278483 -0.204083 -0.360333 -0.196912 -0.293943 -0.509145
-0.258024 -0.220409 -0.357127 -0.178015 -0.319833 -0.502153
-0.251215 -0.196097 -0.371879 -0.181837 -0.281452 -0.536711
-0.259862 -0.20518 -0.36143 -0.179962 -0.296153 -0.523885
-0.279671 -0.225037 -0.342224 -0.195347 -0.318034 -0.486619
-0.285153 -0.212201 -0.34892 -0.197397 -0.292046 -0.510557
-0.261646 -0.22917 -0.346357 -0.177753 -0.320831 -0.501416
-0.273493 -0.178755 -0.374068 -0.20058 -0.267182 -0.532238
-0.280233 -0.186648 -0.362429 -0.200162 -0.268989 -0.530849
-0.278814 -0.165503 -0.380347 -0.20255 -0.244363 -0.553086
-0.286545 -0.173694 -0.369007 -0.202556 -0.244343 -0.553101
-0.258486 -0.18376 -0.379073 -0.181838 -0.27178 -0.546382
-0.264225 -0.191762 -0.367544 -0.181838 -0.27178 -0.546382
-0.259766 -0.166016 -0.380859 -0.185204 -0.24687 -0.567926
-0.368926 -0.119918 -0.354293 -0.295056 -0.187939 -0.517005
-0.388407 -0.139353 -0.334666 -0.317943 -0.203791 -0.478266
-0.396928 -0.146877 -0.322658 -0.325143 -0.21041 -0.464447
-0.392428 -0.125231 -0.340075 -0.328582 -0.185911 -0.485507
-0.401144 -0.128914 -0.324227 -0.330052 -0.185504 -0.484444
-0.37592 -0.14563 -0.340942 -0.304161 -0.211003 -0.484836
-0.383977 -0.152285 -0.328066 -0.303469 -0.209821 -0.48671
-0.377426 -0.127361 -0.342205 -0.308999 -0.186298 -0.504703
-0.387845 -0.0810938 -0.354531 -0.335031 -0.127077 -0.537892
-0.372565 -0.105786 -0.359692 -0.314772 -0.160697 -0.524531
-0.376366 -0.0874573 -0.360895 -0.322204 -0.133813 -0.543983
-0.39617 -0.107156 -0.341531 -0.337049 -0.15954 -0.503411
-0.405078 -0.114692 -0.329535 -0.340243 -0.159745 -0.500012
-0.396828 -0.0881642 -0.34207 -0.343749 -0.133734 -0.522516
-0.381491 -0.109112 -0.343487 -0.315025 -0.160637 -0.524338
-0.385189 -0.0940205 -0.347927 -0.319378 -0.134371 -0.546251
-0.351745 -0.14212 -0.356964 -0.281215 -0.212876 -0.505908
-0.356532 -0.126224 -0.360599 -0.288546 -0.186929 -0.524526
-0.337794 -0.14639 -0.361234 -0.263458 -0.213576 -0.522966
-0.330611 -0.12069 -0.374597 -0.266585 -0.189229 -0.544186
-0.338729 -0.127672 -0.362047 -0.268034 -0.188902 -0.543064
-0.359431 -0.148015 -0.343328 -0.28316 -0.212523 -0.504317
-0.364748 -0.132975 -0.347819 -0.287348 -0.187243 -0.525409
-0.346804 -0.155206 -0.350518 -0.262422 -0.214118 -0.52346
-0.357422 -0.107422 -0.361328 -0.294034 -0.161652 -0.544314
-0.350439 -0.0842763 -0.377245 -0.299695 -0.135572 -0.564732
-0.359193 -0.0888036 -0.362241 -0.300289 -0.135458 -0.564254
-0.335146 -0.10599 -0.379427 -0.273599 -0.162619 -0.563782
-0.34361 -0.110415 -0.364321 -0.273599 -0.162619 -0.563782
-0.337885 -0.0878854 -0.380854 -0.279745 -0.13579 -0.584464
-0.347521 -0.0973792 -0.370817 -0.279005 -0.13593 -0.585065
-0.329208 -0.026166 -0.39726 -0.30294 -0.0493976 -0.647663
-0.330012 -0.00930554 -0.399931 -0.312717 -0.0169649 -0.670319
-0.390099 -0.0668014 -0.35977 -0.3481 -0.10715 -0.54475
