x y z n.x n.y n.z
0.125 0.481793 0.109375 -0.234714 -0.971955 -0.0146092
0.125 0.481558 0.125 -0.234714 -0.971955 -0.0146092
0.109375 0.488543 0.09375 -0.234511 -0.972031 -0.0126383
0.125 0.484773 0.09375 -0.234511 -0.972031 -0.0126383
0.125 0.48457 0.109375 -0.234511 -0.972031 -0.0126383
0.109375 0.48834 0.109375 -0.234511 -0.972031 -0.0126383
0.109375 0.488391 0.109375 -0.234714 -0.971955 -0.0146092
0.125 0.484618 0.109375 -0.234714 -0.971955 -0.0146092
0.125 0.484383 0.125 -0.234714 -0.971955 -0.0146092
0.109375 0.488156 0.125 -0.234714 -0.971955 -0.0146092
0 0.498802 0.125 -0.0158688 -0.999732 -0.0168606
0.015625 0.498554 0.125 -0.0158688 -0.999732 -0.0168606
0.015625 0.49829 0.140625 -0.0158688 -0.999732 -0.0168606
0 0.498538 0.140625 -0.0158688 -0.999732 -0.0168606
0 0.498535 0.140625 -0.0158682 -0.999697 -0.0188435
0.015625 0.498287 0.140625 -0.0158682 -0.999697 -0.0188435
0.015625 0.497993 0.15625 -0.0158682 -0.999697 -0.0188435
0 0.498241 0.15625 -0.0158682 -0.999697 -0.0188435
0.015625 0.4984 0.125 -0.0475584 -0.998726 -0.0168436
0.03125 0.497656 0.125 -0.0475584 -0.998726 -0.0168436
0.03125 0.497392 0.140625 -0.0475584 -0.998726 -0.0168436
0.015625 0.498136 0.140625 -0.0475584 -0.998726 -0.0168436
0.015625 0.498143 0.140625 -0.0475567 -0.998691 -0.0188245
0.03125 0.497399 0.140625 -0.0475567 -0.998691 -0.0188245
0.03125 0.497104 0.15625 -0.0475567 -0.998691 -0.0188245
0.015625 0.497848 0.15625 -0.0475567 -0.998691 -0.0188245
0 0.49824 0.15625 -0.0158676 -0.999657 -0.0208262
0.015625 0.497992 0.15625 -0.0158676 -0.999657 -0.0208262
0.015625 0.497667 0.171875 -0.0158676 -0.999657 -0.0208262
0 0.497915 0.171875 -0.0158676 -0.999657 -0.0208262
0 0.497917 0.171875 -0.0158669 -0.999614 -0.0228087
0.015625 0.497669 0.171875 -0.0158669 -0.999614 -0.0228087
0.015625 0.497312 0.1875 -0.0158669 -0.999614 -0.0228087
0 0.49756 0.1875 -0.0158669 -0.999614 -0.0228087
0.015625 0.497858 0.15625 -0.0475549 -0.998652 -0.0208052
0.03125 0.497114 0.15625 -0.0475549 -0.998652 -0.0208052
