x y n.x n.y
0.374023 0.151304 -0.618097 0.786102 1
0.375977 0.118271 0.531735 -0.846911 1
0.375446 0.151985 -0.627039 0.778988 1
0.376075 0.153066 -0.63514 0.772397 1
0.377421 0.118844 0.536002 -0.844217 1
0.377977 0.119747 0.546478 -0.837473 1
0.377532 0.153809 -0.644649 0.764478 1
0.37817 0.154925 -0.649303 0.76053 1
0.379717 0.120541 0.563448 -0.826152 1
0.380294 0.121477 0.560796 -0.827954 1
0.379574 0.15566 -0.662409 0.749142 1
0.38023 0.156819 -0.670528 0.741884 1
0.381836 0.122182 0.581661 -0.813431 1
0.381575 0.157537 -0.681377 0.731932 1
0.382247 0.158744 -0.691305 0.722563 1
0.383201 0.122764 0.588884 -0.808218 1
0.3838 0.123767 0.598007 -0.801491 1
0.383537 0.159445 -0.7007 0.713456 1
0.384226 0.160701 -0.710239 0.703961 1
0.385378 0.124536 0.603709 -0.797205 1
0.385985 0.12557 0.613591 -0.789624 1
0.385466 0.161384 -0.719325 0.694673 1
0.386171 0.162692 -0.728323 0.685234 1
0.387494 0.126325 0.629563 -0.77695 1
0.388126 0.127398 0.631598 -0.775296 1
0.387366 0.163358 -0.736797 0.676114 1
0.388086 0.16472 -0.746677 0.665187 1
0.389568 0.128141 0.649435 -0.760417 1
0.390217 0.12926 0.654977 -0.755649 1
0.389237 0.165369 -0.752572 0.65851 1
0.389972 0.166784 -0.761759 0.647861 1
0.3916 0.129986 0.667014 -0.745045 1
0.392262 0.131148 0.674722 -0.738072 1
0.391083 0.167421 -0.766977 0.641675 1
0.391827 0.168887 -0.774279 0.632845 1
0.393555 0.131825 0.684456 -0.729054 1
0.392904 0.169515 -0.780724 0.624876 1
0.39355 0.170898 -0.787166 0.616741 1
0.394207 0.172306 -0.798795 0.601604 1
0.39485 0.132505 0.693444 -0.72051 1
0.395533 0.13375 0.702075 -0.712103 1
0.395222 0.172909 -0.799263 0.600982 1
0.395994 0.174508 -0.811019 0.58502 1
0.396805 0.134442 0.711103 -0.703088 1
0.397502 0.135735 0.719791 -0.694191 1
0.396974 0.175099 -0.81227 0.583282 1
0.397754 0.176758 -0.821399 0.570354 1
0.398726 0.136413 0.727881 -0.685703 1
0.399381 0.137695 0.735956 -0.677029 1
0.400075 0.139024 0.745411 -0.666605 1
0.398704 0.177339 -0.829161 0.55901 1
0.399258 0.178711 -0.831553 0.555445 1
0.399973 0.180337 -0.841083 0.540906 1
0.401221 0.13968 0.750909 -0.660406 1
0.401951 0.141087 0.762277 -0.64725 1
0.400871 0.180893 -0.841083 0.540906 1
0.401616 0.182617 -0.850433 0.526083 1
0.402124 0.183969 -0.862906 0.505365 1
0.403059 0.141727 0.76572 -0.643174 1
0.403804 0.143195 0.781545 -0.623848 1
0.403009 0.18457 -0.859057 0.511881 1
0.403791 0.186428 -0.86707 0.498186 1
0.404867 0.143814 0.783027 -0.621988 1
0.405626 0.145342 0.792357 -0.610058 1
0.404612 0.186951 -0.867111 0.498115 1
0.405174 0.188477 -0.874661 0.484735 1
0.405844 0.190212 -0.881684 0.471841 1
0.406651 0.145949 0.800265 -0.599647 1
0.407362 0.147461 0.805348 -0.592802 1
0.407942 0.148807 0.817081 -0.576522 1
0.406621 0.190714 -0.881684 0.471841 1
0.407228 0.192383 -0.888477 0.458922 1
